Timestamp,Will you be voting in 2019 Presidential Election?,"In your opinion, Who is most likely to win the Upcoming Presidential Election?","If the Election is Today, which Candidate you will be voting?",What is the reason for you to vote the above candidate?,"What is the most Important Problem as you see in the country, that makes you decide whom to vote?",Whom did you vote in the last Presidential Election?,What is your Current Age?,What is your Religion?,What is your Highest level of Education?,What is your Current Occupation status?,What is your Current Salary Range,What is your Ethnicity?,What is your district?
02/11/2019 05:42:56,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,He has shawn his ability in many fields where he was responsible. As well as the team arround him is more reliable than other teams,Economic Security,Mr. Mahinda Rajapakse,25,Buddhism,Post-Graduate degree,Private Sector Employee,30000 - 60000,Sinhalese,Galle
02/11/2019 06:32:10,Not Decided Yet,Mr. Sajith Premadasa,Mr. Sajith Premadasa,,,Mr. Maithripala Sirisena,22,Hinduism,Will not Answer,Government Employee,15000 - 30000,Tamil,Batticaloa
02/11/2019 06:40:28,Yes,Mr. Sajith Premadasa,Mr. Sajith Premadasa,He is a good man,Job Opportunities,Mr. Maithripala Sirisena,23,Hinduism,Advanced Level (A/L) - Passed,Government Employee,30000 - 60000,Tamil,Batticaloa
02/11/2019 07:03:44,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,,National Security,Mr. Mahinda Rajapakse,25,Islam,Post-Graduate degree,Student,15000 - 30000,Tamil,
02/11/2019 07:04:11,Yes,Mr. Sajith Premadasa,Mr. Sajith Premadasa,,National Security,Mr. Maithripala Sirisena,25,Islam,Advanced Level (A/L) - Passed,Government Employee,30000 - 60000,Sri Lankan Muslim,Ampara
02/11/2019 07:09:03,Yes,Mr. Sajith Premadasa,Mr. Sajith Premadasa,He is a good politician and good experience in the political side,Job Opportunities,Mr. Maithripala Sirisena,38,Hinduism,Advanced Level (A/L) - Passed,Government Employee,30000 - 60000,Tamil,Batticaloa
02/11/2019 07:28:51,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,His long term development paln..persanality ..education level ,Corruption,Mr. Mahinda Rajapakse,26,Buddhism,Post-Graduate degree,Private Sector Employee,30000 - 60000,Sinhalese,Gampaha
02/11/2019 07:34:47,Yes,Mr. Sajith Premadasa,Mr. Sajith Premadasa,"ஒரு குடும்பத்தின்,கையில் அகப்பட்டு நாட்டில் ஊடகவியளார்கள் நடு வீதியிலும் வெள்ளை வான்களிலும் கொலை செய்யபடாமல் இருக்க , படிப்பறிவில்லாத ரவூடிகள் கூலி கொலைகாரபடைகள் என் நாட்டின் அமைச்சர்கள் ஆகமல் இருக்க.ஜனாதிபதியீன் சொந்த செலவுக்கு 16000 கோடி மக்கள்நிதி செல்லாமல் இருக்க,இனவாதம்,லஞ்சம்,அதிகார தூஸ்பிரயோாகம் தனி குடும்பம்,இந்த நாட்டை அழிப்பதில் எனக்கு உடன்பாடு இல்லை.ஆகவே இருப்பதில் நல்ல தெரிவு சஜித்",Job Opportunities,Mr. Maithripala Sirisena,26,Christianity,Post-Graduate degree,Self Employeed,120000 and above,Tamil,Batticaloa
02/11/2019 08:53:16,Yes,Mr. Sajith Premadasa,Mr. Sajith Premadasa,Because of UNP,Foreign influence,Mr. Maithripala Sirisena,26,Christianity,Advanced Level (A/L) - Passed,Private Sector Employee,60000 - 120000,Burger,Batticaloa
02/11/2019 09:13:11,Yes,Mr. Gotabaya Rajapakse,Mr. Anura Kumara Dissanayake,Corrupted history of other candidates,Economic Development,Mr. Maithripala Sirisena,27,Christianity,Advanced Level (A/L) - Passed,Private Sector Employee,60000 - 120000,Will not Answer,Gampaha
02/11/2019 09:35:09,Yes,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,,Economic Development,Mr. Maithripala Sirisena,24,Buddhism,Advanced Level (A/L) - Passed,Student,120000 and above,Sinhalese,Gampaha
02/11/2019 12:42:14,Yes,Mr. Anura Kumara Dissanayake,Mr. Anura Kumara Dissanayake,,Economic Development,Mr. Maithripala Sirisena,28,Buddhism,Post-Graduate degree,Self Employeed,120000 and above,Sinhalese,
02/11/2019 13:56:50,No,Mr. Gotabaya Rajapakse,Mr. Gotabaya Rajapaksha,Equality ,Job Opportunities,Mr. Mahinda Rajapakse,26,Hinduism,Post-Graduate degree,Unemployed,Below 15000,Tamil,Batticaloa
02/11/2019 15:57:03,Yes,Mr. Sajith Premadasa,Mr. Sajith Premadasa,Need a new honest leader,National Security,Mr. Mahinda Rajapakse,29,Hinduism,Advanced Level (A/L) - Passed,Government Employee,30000 - 60000,Tamil,Batticaloa
02/11/2019 16:09:27,No,Mr. Sajith Premadasa,Mr. Sajith Premadasa,,Job Opportunities,Mr. Maithripala Sirisena,25,Islam,Up to Ordinary Level (O/L),Government Employee,30000 - 60000,Sri Lankan Muslim,Trincomalee
